#  Bravais lattice: NaCl crystal structure (fcc)
#
# x 	 y 	 z 	 r 	 c #
#---	---	---	---	---#
0	0	5.4	1.16	255
0	2.7	8.1	1.16	255
2.7	0	8.1	1.16	255
2.7	2.7	5.4	1.16	255
2.7	0	5.4	1.67	65208
0	2.7	5.4	1.67	65208
0	0	8.1	1.67	65208
2.7	2.7	8.1	1.67	65208
0	0	10.8	1.16	255
0	2.7	13.5	1.16	255
2.7	0	13.5	1.16	255
2.7	2.7	10.8	1.16	255
2.7	0	10.8	1.67	65208
0	2.7	10.8	1.67	65208
0	0	13.5	1.67	65208
2.7	2.7	13.5	1.67	65208
0	0	16.2	1.16	255
0	2.7	18.9	1.16	255
2.7	0	18.9	1.16	255
2.7	2.7	16.2	1.16	255
2.7	0	16.2	1.67	65208
0	2.7	16.2	1.67	65208
0	0	18.9	1.67	65208
2.7	2.7	18.9	1.67	65208
0	5.4	-16.2	1.16	255
0	8.1	-13.5	1.16	255
2.7	5.4	-13.5	1.16	255
2.7	8.1	-16.2	1.16	255
2.7	5.4	-16.2	1.67	65208
0	8.1	-16.2	1.67	65208
0	5.4	-13.5	1.67	65208
2.7	8.1	-13.5	1.67	65208
0	5.4	-10.8	1.16	255
0	8.1	-8.1	1.16	255
2.7	5.4	-8.1	1.16	255
2.7	8.1	-10.8	1.16	255
2.7	5.4	-10.8	1.67	65208
0	8.1	-10.8	1.67	65208
0	5.4	-8.1	1.67	65208
2.7	8.1	-8.1	1.67	65208
0	5.4	-5.4	1.16	255
0	8.1	-2.7	1.16	255
2.7	5.4	-2.7	1.16	255
2.7	8.1	-5.4	1.16	255
2.7	5.4	-5.4	1.67	65208
0	8.1	-5.4	1.67	65208
0	5.4	-2.7	1.67	65208
2.7	8.1	-2.7	1.67	65208
0	5.4	0	1.16	255
0	8.1	2.7	1.16	255
2.7	5.4	2.7	1.16	255
2.7	8.1	0	1.16	255
2.7	5.4	0	1.67	65208
0	8.1	0	1.67	65208
0	5.4	2.7	1.67	65208
2.7	8.1	2.7	1.67	65208
0	5.4	5.4	1.16	255
0	8.1	8.1	1.16	255
2.7	5.4	8.1	1.16	255
2.7	8.1	5.4	1.16	255
2.7	5.4	5.4	1.67	65208
0	8.1	5.4	1.67	65208
0	5.4	8.1	1.67	65208
2.7	8.1	8.1	1.67	65208
0	5.4	10.8	1.16	255
0	8.1	13.5	1.16	255
2.7	5.4	13.5	1.16	255
2.7	8.1	10.8	1.16	255
2.7	5.4	10.8	1.67	65208
0	8.1	10.8	1.67	65208
0	5.4	13.5	1.67	65208
2.7	8.1	13.5	1.67	65208
0	5.4	16.2	1.16	255
0	8.1	18.9	1.16	255
2.7	5.4	18.9	1.16	255
2.7	8.1	16.2	1.16	255
2.7	5.4	16.2	1.67	65208
0	8.1	16.2	1.67	65208
0	5.4	18.9	1.67	65208
2.7	8.1	18.9	1.67	65208
0	10.8	-16.2	1.16	255
0	13.5	-13.5	1.16	255
2.7	10.8	-13.5	1.16	255
2.7	13.5	-16.2	1.16	255
2.7	10.8	-16.2	1.67	65208
0	13.5	-16.2	1.67	65208
0	10.8	-13.5	1.67	65208
2.7	13.5	-13.5	1.67	65208
0	10.8	-10.8	1.16	255
0	13.5	-8.1	1.16	255
2.7	10.8	-8.1	1.16	255
2.7	13.5	-10.8	1.16	255
2.7	10.8	-10.8	1.67	65208
0	13.5	-10.8	1.67	65208
0	10.8	-8.1	1.67	65208
2.7	13.5	-8.1	1.67	65208
0	10.8	-5.4	1.16	255
0	13.5	-2.7	1.16	255
2.7	10.8	-2.7	1.16	255
2.7	13.5	-5.4	1.16	255
2.7	10.8	-5.4	1.67	65208
0	13.5	-5.4	1.67	65208
0	10.8	-2.7	1.67	65208
2.7	13.5	-2.7	1.67	65208
0	10.8	0	1.16	255
0	13.5	2.7	1.16	255
2.7	10.8	2.7	1.16	255
2.7	13.5	0	1.16	255
2.7	10.8	0	1.67	65208
0	13.5	0	1.67	65208
0	10.8	2.7	1.67	65208
2.7	13.5	2.7	1.67	65208
0	10.8	5.4	1.16	255
0	13.5	8.1	1.16	255
2.7	10.8	8.1	1.16	255
2.7	13.5	5.4	1.16	255
2.7	10.8	5.4	1.67	65208
0	13.5	5.4	1.67	65208
0	10.8	8.1	1.67	65208
2.7	13.5	8.1	1.67	65208
0	10.8	10.8	1.16	255
0	13.5	13.5	1.16	255
2.7	10.8	13.5	1.16	255
2.7	13.5	10.8	1.16	255
2.7	10.8	10.8	1.67	65208
0	13.5	10.8	1.67	65208
0	10.8	13.5	1.67	65208
2.7	13.5	13.5	1.67	65208
0	10.8	16.2	1.16	255
0	13.5	18.9	1.16	255
2.7	10.8	18.9	1.16	255
2.7	13.5	16.2	1.16	255
2.7	10.8	16.2	1.67	65208
0	13.5	16.2	1.67	65208
0	10.8	18.9	1.67	65208
2.7	13.5	18.9	1.67	65208
0	16.2	-16.2	1.16	255
0	18.9	-13.5	1.16	255
2.7	16.2	-13.5	1.16	255
2.7	18.9	-16.2	1.16	255
2.7	16.2	-16.2	1.67	65208
0	18.9	-16.2	1.67	65208
0	16.2	-13.5	1.67	65208
2.7	18.9	-13.5	1.67	65208
0	16.2	-10.8	1.16	255
0	18.9	-8.1	1.16	255
2.7	16.2	-8.1	1.16	255
2.7	18.9	-10.8	1.16	255
2.7	16.2	-10.8	1.67	65208
0	18.9	-10.8	1.67	65208
0	16.2	-8.1	1.67	65208
2.7	18.9	-8.1	1.67	65208
0	16.2	-5.4	1.16	255
0	18.9	-2.7	1.16	255
2.7	16.2	-2.7	1.16	255
2.7	18.9	-5.4	1.16	255
2.7	16.2	-5.4	1.67	65208
0	18.9	-5.4	1.67	65208
0	16.2	-2.7	1.67	65208
2.7	18.9	-2.7	1.67	65208
0	16.2	0	1.16	255
0	18.9	2.7	1.16	255
2.7	16.2	2.7	1.16	255
2.7	18.9	0	1.16	255
2.7	16.2	0	1.67	65208
0	18.9	0	1.67	65208
0	16.2	2.7	1.67	65208
2.7	18.9	2.7	1.67	65208
0	16.2	5.4	1.16	255
0	18.9	8.1	1.16	255
2.7	16.2	8.1	1.16	255
2.7	18.9	5.4	1.16	255
2.7	16.2	5.4	1.67	65208
0	18.9	5.4	1.67	65208
0	16.2	8.1	1.67	65208
2.7	18.9	8.1	1.67	65208
0	16.2	10.8	1.16	255
0	18.9	13.5	1.16	255
2.7	16.2	13.5	1.16	255
2.7	18.9	10.8	1.16	255
2.7	16.2	10.8	1.67	65208
0	18.9	10.8	1.67	65208
0	16.2	13.5	1.67	65208
2.7	18.9	13.5	1.67	65208
0	16.2	16.2	1.16	255
0	18.9	18.9	1.16	255
2.7	16.2	18.9	1.16	255
2.7	18.9	16.2	1.16	255
2.7	16.2	16.2	1.67	65208
0	18.9	16.2	1.67	65208
0	16.2	18.9	1.67	65208
2.7	18.9	18.9	1.67	65208
5.4	-16.2	-16.2	1.16	255
5.4	-13.5	-13.5	1.16	255
8.1	-16.2	-13.5	1.16	255
8.1	-13.5	-16.2	1.16	255
8.1	-16.2	-16.2	1.67	65208
5.4	-13.5	-16.2	1.67	65208
5.4	-16.2	-13.5	1.67	65208
8.1	-13.5	-13.5	1.67	65208
5.4	-16.2	-10.8	1.16	255
5.4	-13.5	-8.1	1.16	255
8.1	-16.2	-8.1	1.16	255
8.1	-13.5	-10.8	1.16	255
8.1	-16.2	-10.8	1.67	65208
5.4	-13.5	-10.8	1.67	65208
5.4	-16.2	-8.1	1.67	65208
8.1	-13.5	-8.1	1.67	65208
5.4	-16.2	-5.4	1.16	255
5.4	-13.5	-2.7	1.16	255
8.1	-16.2	-2.7	1.16	255
8.1	-13.5	-5.4	1.16	255
8.1	-16.2	-5.4	1.67	65208
5.4	-13.5	-5.4	1.67	65208
5.4	-16.2	-2.7	1.67	65208
8.1	-13.5	-2.7	1.67	65208
5.4	-16.2	0	1.16	255
5.4	-13.5	2.7	1.16	255
8.1	-16.2	2.7	1.16	255
8.1	-13.5	0	1.16	255
8.1	-16.2	0	1.67	65208
5.4	-13.5	0	1.67	65208
5.4	-16.2	2.7	1.67	65208
8.1	-13.5	2.7	1.67	65208
5.4	-16.2	5.4	1.16	255
5.4	-13.5	8.1	1.16	255
8.1	-16.2	8.1	1.16	255
8.1	-13.5	5.4	1.16	255
8.1	-16.2	5.4	1.67	65208
5.4	-13.5	5.4	1.67	65208
5.4	-16.2	8.1	1.67	65208
8.1	-13.5	8.1	1.67	65208
5.4	-16.2	10.8	1.16	255
5.4	-13.5	13.5	1.16	255
8.1	-16.2	13.5	1.16	255
8.1	-13.5	10.8	1.16	255
8.1	-16.2	10.8	1.67	65208
5.4	-13.5	10.8	1.67	65208
5.4	-16.2	13.5	1.67	65208
8.1	-13.5	13.5	1.67	65208
5.4	-16.2	16.2	1.16	255
5.4	-13.5	18.9	1.16	255
8.1	-16.2	18.9	1.16	255
8.1	-13.5	16.2	1.16	255
8.1	-16.2	16.2	1.67	65208
5.4	-13.5	16.2	1.67	65208
5.4	-16.2	18.9	1.67	65208
8.1	-13.5	18.9	1.67	65208
5.4	-10.8	-16.2	1.16	255
5.4	-8.1	-13.5	1.16	255
8.1	-10.8	-13.5	1.16	255
8.1	-8.1	-16.2	1.16	255
8.1	-10.8	-16.2	1.67	65208
5.4	-8.1	-16.2	1.67	65208
5.4	-10.8	-13.5	1.67	65208
8.1	-8.1	-13.5	1.67	65208
5.4	-10.8	-10.8	1.16	255
5.4	-8.1	-8.1	1.16	255
8.1	-10.8	-8.1	1.16	255
8.1	-8.1	-10.8	1.16	255
8.1	-10.8	-10.8	1.67	65208
5.4	-8.1	-10.8	1.67	65208
5.4	-10.8	-8.1	1.67	65208
8.1	-8.1	-8.1	1.67	65208
5.4	-10.8	-5.4	1.16	255
5.4	-8.1	-2.7	1.16	255
8.1	-10.8	-2.7	1.16	255
8.1	-8.1	-5.4	1.16	255
8.1	-10.8	-5.4	1.67	65208
5.4	-8.1	-5.4	1.67	65208
5.4	-10.8	-2.7	1.67	65208
8.1	-8.1	-2.7	1.67	65208
5.4	-10.8	0	1.16	255
5.4	-8.1	2.7	1.16	255
8.1	-10.8	2.7	1.16	255
8.1	-8.1	0	1.16	255
8.1	-10.8	0	1.67	65208
5.4	-8.1	0	1.67	65208
5.4	-10.8	2.7	1.67	65208
8.1	-8.1	2.7	1.67	65208
5.4	-10.8	5.4	1.16	255
5.4	-8.1	8.1	1.16	255
8.1	-10.8	8.1	1.16	255
8.1	-8.1	5.4	1.16	255
8.1	-10.8	5.4	1.67	65208
5.4	-8.1	5.4	1.67	65208
5.4	-10.8	8.1	1.67	65208
8.1	-8.1	8.1	1.67	65208
5.4	-10.8	10.8	1.16	255
5.4	-8.1	13.5	1.16	255
8.1	-10.8	13.5	1.16	255
8.1	-8.1	10.8	1.16	255
8.1	-10.8	10.8	1.67	65208
5.4	-8.1	10.8	1.67	65208
5.4	-10.8	13.5	1.67	65208
8.1	-8.1	13.5	1.67	65208
5.4	-10.8	16.2	1.16	255
5.4	-8.1	18.9	1.16	255
8.1	-10.8	18.9	1.16	255
8.1	-8.1	16.2	1.16	255
8.1	-10.8	16.2	1.67	65208
5.4	-8.1	16.2	1.67	65208
5.4	-10.8	18.9	1.67	65208
8.1	-8.1	18.9	1.67	65208
5.4	-5.4	-16.2	1.16	255
5.4	-2.7	-13.5	1.16	255
8.1	-5.4	-13.5	1.16	255
8.1	-2.7	-16.2	1.16	255
8.1	-5.4	-16.2	1.67	65208
5.4	-2.7	-16.2	1.67	65208
5.4	-5.4	-13.5	1.67	65208
8.1	-2.7	-13.5	1.67	65208
5.4	-5.4	-10.8	1.16	255
5.4	-2.7	-8.1	1.16	255
8.1	-5.4	-8.1	1.16	255
8.1	-2.7	-10.8	1.16	255
8.1	-5.4	-10.8	1.67	65208
5.4	-2.7	-10.8	1.67	65208
5.4	-5.4	-8.1	1.67	65208
8.1	-2.7	-8.1	1.67	65208
5.4	-5.4	-5.4	1.16	255
5.4	-2.7	-2.7	1.16	255
8.1	-5.4	-2.7	1.16	255
8.1	-2.7	-5.4	1.16	255
8.1	-5.4	-5.4	1.67	65208
5.4	-2.7	-5.4	1.67	65208
5.4	-5.4	-2.7	1.67	65208
8.1	-2.7	-2.7	1.67	65208
5.4	-5.4	0	1.16	255
5.4	-2.7	2.7	1.16	255
8.1	-5.4	2.7	1.16	255
8.1	-2.7	0	1.16	255
8.1	-5.4	0	1.67	65208
5.4	-2.7	0	1.67	65208
5.4	-5.4	2.7	1.67	65208
8.1	-2.7	2.7	1.67	65208
5.4	-5.4	5.4	1.16	255
5.4	-2.7	8.1	1.16	255
8.1	-5.4	8.1	1.16	255
8.1	-2.7	5.4	1.16	255
8.1	-5.4	5.4	1.67	65208
5.4	-2.7	5.4	1.67	65208
5.4	-5.4	8.1	1.67	65208
8.1	-2.7	8.1	1.67	65208
5.4	-5.4	10.8	1.16	255
5.4	-2.7	13.5	1.16	255
8.1	-5.4	13.5	1.16	255
8.1	-2.7	10.8	1.16	255
8.1	-5.4	10.8	1.67	65208
5.4	-2.7	10.8	1.67	65208
5.4	-5.4	13.5	1.67	65208
8.1	-2.7	13.5	1.67	65208
5.4	-5.4	16.2	1.16	255
5.4	-2.7	18.9	1.16	255
8.1	-5.4	18.9	1.16	255
8.1	-2.7	16.2	1.16	255
8.1	-5.4	16.2	1.67	65208
5.4	-2.7	16.2	1.67	65208
5.4	-5.4	18.9	1.67	65208
8.1	-2.7	18.9	1.67	65208
5.4	0	-16.2	1.16	255
5.4	2.7	-13.5	1.16	255
8.1	0	-13.5	1.16	255
8.1	2.7	-16.2	1.16	255
8.1	0	-16.2	1.67	65208
5.4	2.7	-16.2	1.67	65208
5.4	0	-13.5	1.67	65208
8.1	2.7	-13.5	1.67	65208
5.4	0	-10.8	1.16	255
5.4	2.7	-8.1	1.16	255
8.1	0	-8.1	1.16	255
8.1	2.7	-10.8	1.16	255
8.1	0	-10.8	1.67	65208
5.4	2.7	-10.8	1.67	65208
5.4	0	-8.1	1.67	65208
8.1	2.7	-8.1	1.67	65208
5.4	0	-5.4	1.16	255
5.4	2.7	-2.7	1.16	255
8.1	0	-2.7	1.16	255
8.1	2.7	-5.4	1.16	255
8.1	0	-5.4	1.67	65208
5.4	2.7	-5.4	1.67	65208
5.4	0	-2.7	1.67	65208
8.1	2.7	-2.7	1.67	65208
5.4	0	0	1.16	255
5.4	2.7	2.7	1.16	255
8.1	0	2.7	1.16	255
8.1	2.7	0	1.16	255
8.1	0	0	1.67	65208
5.4	2.7	0	1.67	65208
5.4	0	2.7	1.67	65208
8.1	2.7	2.7	1.67	65208
5.4	0	5.4	1.16	255
5.4	2.7	8.1	1.16	255
8.1	0	8.1	1.16	255
8.1	2.7	5.4	1.16	255
8.1	0	5.4	1.67	65208
5.4	2.7	5.4	1.67	65208
5.4	0	8.1	1.67	65208
8.1	2.7	8.1	1.67	65208
5.4	0	10.8	1.16	255
5.4	2.7	13.5	1.16	255
8.1	0	13.5	1.16	255
8.1	2.7	10.8	1.16	255
8.1	0	10.8	1.67	65208
5.4	2.7	10.8	1.67	65208
5.4	0	13.5	1.67	65208
8.1	2.7	13.5	1.67	65208
5.4	0	16.2	1.16	255
5.4	2.7	18.9	1.16	255
8.1	0	18.9	1.16	255
8.1	2.7	16.2	1.16	255
8.1	0	16.2	1.67	65208
5.4	2.7	16.2	1.67	65208
5.4	0	18.9	1.67	65208
8.1	2.7	18.9	1.67	65208
5.4	5.4	-16.2	1.16	255
5.4	8.1	-13.5	1.16	255
8.1	5.4	-13.5	1.16	255
8.1	8.1	-16.2	1.16	255
8.1	5.4	-16.2	1.67	65208
5.4	8.1	-16.2	1.67	65208
5.4	5.4	-13.5	1.67	65208
8.1	8.1	-13.5	1.67	65208
5.4	5.4	-10.8	1.16	255
5.4	8.1	-8.1	1.16	255
8.1	5.4	-8.1	1.16	255
8.1	8.1	-10.8	1.16	255
8.1	5.4	-10.8	1.67	65208
5.4	8.1	-10.8	1.67	65208
5.4	5.4	-8.1	1.67	65208
8.1	8.1	-8.1	1.67	65208
5.4	5.4	-5.4	1.16	255
5.4	8.1	-2.7	1.16	255
8.1	5.4	-2.7	1.16	255
8.1	8.1	-5.4	1.16	255
8.1	5.4	-5.4	1.67	65208
5.4	8.1	-5.4	1.67	65208
5.4	5.4	-2.7	1.67	65208
8.1	8.1	-2.7	1.67	65208
5.4	5.4	0	1.16	255
5.4	8.1	2.7	1.16	255
8.1	5.4	2.7	1.16	255
8.1	8.1	0	1.16	255
8.1	5.4	0	1.67	65208
5.4	8.1	0	1.67	65208
5.4	5.4	2.7	1.67	65208
8.1	8.1	2.7	1.67	65208
5.4	5.4	5.4	1.16	255
5.4	8.1	8.1	1.16	255
8.1	5.4	8.1	1.16	255
8.1	8.1	5.4	1.16	255
8.1	5.4	5.4	1.67	65208
5.4	8.1	5.4	1.67	65208
5.4	5.4	8.1	1.67	65208
8.1	8.1	8.1	1.67	65208
5.4	5.4	10.8	1.16	255
5.4	8.1	13.5	1.16	255
8.1	5.4	13.5	1.16	255
8.1	8.1	10.8	1.16	255
8.1	5.4	10.8	1.67	65208
5.4	8.1	10.8	1.67	65208
5.4	5.4	13.5	1.67	65208
8.1	8.1	13.5	1.67	65208
5.4	5.4	16.2	1.16	255
5.4	8.1	18.9	1.16	255
8.1	5.4	18.9	1.16	255
8.1	8.1	16.2	1.16	255
8.1	5.4	16.2	1.67	65208
5.4	8.1	16.2	1.67	65208
5.4	5.4	18.9	1.67	65208
8.1	8.1	18.9	1.67	65208
5.4	10.8	-16.2	1.16	255
5.4	13.5	-13.5	1.16	255
8.1	10.8	-13.5	1.16	255
8.1	13.5	-16.2	1.16	255
8.1	10.8	-16.2	1.67	65208
5.4	13.5	-16.2	1.67	65208
5.4	10.8	-13.5	1.67	65208
8.1	13.5	-13.5	1.67	65208
5.4	10.8	-10.8	1.16	255
5.4	13.5	-8.1	1.16	255
8.1	10.8	-8.1	1.16	255
8.1	13.5	-10.8	1.16	255
8.1	10.8	-10.8	1.67	65208
5.4	13.5	-10.8	1.67	65208
5.4	10.8	-8.1	1.67	65208
8.1	13.5	-8.1	1.67	65208
5.4	10.8	-5.4	1.16	255
5.4	13.5	-2.7	1.16	255
8.1	10.8	-2.7	1.16	255
8.1	13.5	-5.4	1.16	255
8.1	10.8	-5.4	1.67	65208
5.4	13.5	-5.4	1.67	65208
5.4	10.8	-2.7	1.67	65208
8.1	13.5	-2.7	1.67	65208
5.4	10.8	0	1.16	255
5.4	13.5	2.7	1.16	255
8.1	10.8	2.7	1.16	255
8.1	13.5	0	1.16	255
8.1	10.8	0	1.67	65208
5.4	13.5	0	1.67	65208
5.4	10.8	2.7	1.67	65208
8.1	13.5	2.7	1.67	65208
5.4	10.8	5.4	1.16	255
5.4	13.5	8.1	1.16	255
8.1	10.8	8.1	1.16	255
8.1	13.5	5.4	1.16	255
8.1	10.8	5.4	1.67	65208
5.4	13.5	5.4	1.67	65208
5.4	10.8	8.1	1.67	65208
8.1	13.5	8.1	1.67	65208
5.4	10.8	10.8	1.16	255
5.4	13.5	13.5	1.16	255
8.1	10.8	13.5	1.16	255
8.1	13.5	10.8	1.16	255
8.1	10.8	10.8	1.67	65208
5.4	13.5	10.8	1.67	65208
5.4	10.8	13.5	1.67	65208
8.1	13.5	13.5	1.67	65208
5.4	10.8	16.2	1.16	255
5.4	13.5	18.9	1.16	255
8.1	10.8	18.9	1.16	255
8.1	13.5	16.2	1.16	255
8.1	10.8	16.2	1.67	65208
5.4	13.5	16.2	1.67	65208
5.4	10.8	18.9	1.67	65208
8.1	13.5	18.9	1.67	65208
5.4	16.2	-16.2	1.16	255
5.4	18.9	-13.5	1.16	255
8.1	16.2	-13.5	1.16	255
8.1	18.9	-16.2	1.16	255
8.1	16.2	-16.2	1.67	65208
5.4	18.9	-16.2	1.67	65208
5.4	16.2	-13.5	1.67	65208
8.1	18.9	-13.5	1.67	65208
5.4	16.2	-10.8	1.16	255
5.4	18.9	-8.1	1.16	255
8.1	16.2	-8.1	1.16	255
8.1	18.9	-10.8	1.16	255
8.1	16.2	-10.8	1.67	65208
5.4	18.9	-10.8	1.67	65208
5.4	16.2	-8.1	1.67	65208
8.1	18.9	-8.1	1.67	65208
5.4	16.2	-5.4	1.16	255
5.4	18.9	-2.7	1.16	255
8.1	16.2	-2.7	1.16	255
8.1	18.9	-5.4	1.16	255
8.1	16.2	-5.4	1.67	65208
5.4	18.9	-5.4	1.67	65208
5.4	16.2	-2.7	1.67	65208
8.1	18.9	-2.7	1.67	65208
5.4	16.2	0	1.16	255
5.4	18.9	2.7	1.16	255
8.1	16.2	2.7	1.16	255
8.1	18.9	0	1.16	255
8.1	16.2	0	1.67	65208
5.4	18.9	0	1.67	65208
5.4	16.2	2.7	1.67	65208
8.1	18.9	2.7	1.67	65208
5.4	16.2	5.4	1.16	255
5.4	18.9	8.1	1.16	255
8.1	16.2	8.1	1.16	255
8.1	18.9	5.4	1.16	255
8.1	16.2	5.4	1.67	65208
5.4	18.9	5.4	1.67	65208
5.4	16.2	8.1	1.67	65208
8.1	18.9	8.1	1.67	65208
5.4	16.2	10.8	1.16	255
5.4	18.9	13.5	1.16	255
8.1	16.2	13.5	1.16	255
8.1	18.9	10.8	1.16	255
8.1	16.2	10.8	1.67	65208
5.4	18.9	10.8	1.67	65208
5.4	16.2	13.5	1.67	65208
8.1	18.9	13.5	1.67	65208
5.4	16.2	16.2	1.16	255
5.4	18.9	18.9	1.16	255
8.1	16.2	18.9	1.16	255
8.1	18.9	16.2	1.16	255
8.1	16.2	16.2	1.67	65208
5.4	18.9	16.2	1.67	65208
5.4	16.2	18.9	1.67	65208
8.1	18.9	18.9	1.67	65208
10.8	-16.2	-16.2	1.16	255
10.8	-13.5	-13.5	1.16	255
13.5	-16.2	-13.5	1.16	255
13.5	-13.5	-16.2	1.16	255
13.5	-16.2	-16.2	1.67	65208
10.8	-13.5	-16.2	1.67	65208
10.8	-16.2	-13.5	1.67	65208
13.5	-13.5	-13.5	1.67	65208
10.8	-16.2	-10.8	1.16	255
10.8	-13.5	-8.1	1.16	255
13.5	-16.2	-8.1	1.16	255
13.5	-13.5	-10.8	1.16	255
13.5	-16.2	-10.8	1.67	65208
10.8	-13.5	-10.8	1.67	65208
10.8	-16.2	-8.1	1.67	65208
13.5	-13.5	-8.1	1.67	65208
10.8	-16.2	-5.4	1.16	255
10.8	-13.5	-2.7	1.16	255
13.5	-16.2	-2.7	1.16	255
13.5	-13.5	-5.4	1.16	255
13.5	-16.2	-5.4	1.67	65208
10.8	-13.5	-5.4	1.67	65208
10.8	-16.2	-2.7	1.67	65208
13.5	-13.5	-2.7	1.67	65208
10.8	-16.2	0	1.16	255
10.8	-13.5	2.7	1.16	255
13.5	-16.2	2.7	1.16	255
13.5	-13.5	0	1.16	255
13.5	-16.2	0	1.67	65208
10.8	-13.5	0	1.67	65208
10.8	-16.2	2.7	1.67	65208
13.5	-13.5	2.7	1.67	65208
10.8	-16.2	5.4	1.16	255
10.8	-13.5	8.1	1.16	255
13.5	-16.2	8.1	1.16	255
13.5	-13.5	5.4	1.16	255
13.5	-16.2	5.4	1.67	65208
10.8	-13.5	5.4	1.67	65208
10.8	-16.2	8.1	1.67	65208
13.5	-13.5	8.1	1.67	65208
10.8	-16.2	10.8	1.16	255
10.8	-13.5	13.5	1.16	255
13.5	-16.2	13.5	1.16	255
13.5	-13.5	10.8	1.16	255
13.5	-16.2	10.8	1.67	65208
10.8	-13.5	10.8	1.67	65208
10.8	-16.2	13.5	1.67	65208
13.5	-13.5	13.5	1.67	65208
10.8	-16.2	16.2	1.16	255
10.8	-13.5	18.9	1.16	255
13.5	-16.2	18.9	1.16	255
13.5	-13.5	16.2	1.16	255
13.5	-16.2	16.2	1.67	65208
10.8	-13.5	16.2	1.67	65208
10.8	-16.2	18.9	1.67	65208
13.5	-13.5	18.9	1.67	65208
10.8	-10.8	-16.2	1.16	255
10.8	-8.1	-13.5	1.16	255
13.5	-10.8	-13.5	1.16	255
13.5	-8.1	-16.2	1.16	255
13.5	-10.8	-16.2	1.67	65208
10.8	-8.1	-16.2	1.67	65208
10.8	-10.8	-13.5	1.67	65208
13.5	-8.1	-13.5	1.67	65208
10.8	-10.8	-10.8	1.16	255
10.8	-8.1	-8.1	1.16	255
13.5	-10.8	-8.1	1.16	255
13.5	-8.1	-10.8	1.16	255
13.5	-10.8	-10.8	1.67	65208
10.8	-8.1	-10.8	1.67	65208
10.8	-10.8	-8.1	1.67	65208
13.5	-8.1	-8.1	1.67	65208
10.8	-10.8	-5.4	1.16	255
10.8	-8.1	-2.7	1.16	255
13.5	-10.8	-2.7	1.16	255
13.5	-8.1	-5.4	1.16	255
13.5	-10.8	-5.4	1.67	65208
10.8	-8.1	-5.4	1.67	65208
10.8	-10.8	-2.7	1.67	65208
13.5	-8.1	-2.7	1.67	65208
10.8	-10.8	0	1.16	255
10.8	-8.1	2.7	1.16	255
13.5	-10.8	2.7	1.16	255
13.5	-8.1	0	1.16	255
13.5	-10.8	0	1.67	65208
10.8	-8.1	0	1.67	65208
10.8	-10.8	2.7	1.67	65208
13.5	-8.1	2.7	1.67	65208
10.8	-10.8	5.4	1.16	255
10.8	-8.1	8.1	1.16	255
13.5	-10.8	8.1	1.16	255
13.5	-8.1	5.4	1.16	255
13.5	-10.8	5.4	1.67	65208
10.8	-8.1	5.4	1.67	65208
10.8	-10.8	8.1	1.67	65208
13.5	-8.1	8.1	1.67	65208
10.8	-10.8	10.8	1.16	255
10.8	-8.1	13.5	1.16	255
13.5	-10.8	13.5	1.16	255
13.5	-8.1	10.8	1.16	255
13.5	-10.8	10.8	1.67	65208
10.8	-8.1	10.8	1.67	65208
10.8	-10.8	13.5	1.67	65208
13.5	-8.1	13.5	1.67	65208
10.8	-10.8	16.2	1.16	255
10.8	-8.1	18.9	1.16	255
13.5	-10.8	18.9	1.16	255
13.5	-8.1	16.2	1.16	255
13.5	-10.8	16.2	1.67	65208
10.8	-8.1	16.2	1.67	65208
10.8	-10.8	18.9	1.67	65208
13.5	-8.1	18.9	1.67	65208
10.8	-5.4	-16.2	1.16	255
10.8	-2.7	-13.5	1.16	255
13.5	-5.4	-13.5	1.16	255
13.5	-2.7	-16.2	1.16	255
13.5	-5.4	-16.2	1.67	65208
10.8	-2.7	-16.2	1.67	65208
10.8	-5.4	-13.5	1.67	65208
13.5	-2.7	-13.5	1.67	65208
10.8	-5.4	-10.8	1.16	255
10.8	-2.7	-8.1	1.16	255
13.5	-5.4	-8.1	1.16	255
13.5	-2.7	-10.8	1.16	255
13.5	-5.4	-10.8	1.67	65208
10.8	-2.7	-10.8	1.67	65208
10.8	-5.4	-8.1	1.67	65208
13.5	-2.7	-8.1	1.67	65208
10.8	-5.4	-5.4	1.16	255
10.8	-2.7	-2.7	1.16	255
13.5	-5.4	-2.7	1.16	255
13.5	-2.7	-5.4	1.16	255
13.5	-5.4	-5.4	1.67	65208
10.8	-2.7	-5.4	1.67	65208
10.8	-5.4	-2.7	1.67	65208
13.5	-2.7	-2.7	1.67	65208
10.8	-5.4	0	1.16	255
10.8	-2.7	2.7	1.16	255
13.5	-5.4	2.7	1.16	255
13.5	-2.7	0	1.16	255
13.5	-5.4	0	1.67	65208
10.8	-2.7	0	1.67	65208
10.8	-5.4	2.7	1.67	65208
13.5	-2.7	2.7	1.67	65208
10.8	-5.4	5.4	1.16	255
10.8	-2.7	8.1	1.16	255
13.5	-5.4	8.1	1.16	255
13.5	-2.7	5.4	1.16	255
13.5	-5.4	5.4	1.67	65208
10.8	-2.7	5.4	1.67	65208
10.8	-5.4	8.1	1.67	65208
13.5	-2.7	8.1	1.67	65208
10.8	-5.4	10.8	1.16	255
10.8	-2.7	13.5	1.16	255
13.5	-5.4	13.5	1.16	255
